t,counts_mc
0,193
1,172
2,168
3,205
4,180
5,192
6,186
7,199
8,186
9,161
10,171
11,156
12,167
13,188
14,187
15,152
16,171
17,153
18,136
19,148
20,143
21,155
22,138
23,156
24,165
25,142
26,149
27,150
28,143
29,145
30,170
31,143
32,139
33,119
34,144
35,136
36,117
37,130
38,162
39,152
40,145
41,138
42,117
43,117
44,117
45,130
46,141
47,122
48,146
49,131
50,132
51,114
52,117
53,124
54,128
55,147
56,124
57,104
58,115
59,108
60,115
61,105
62,131
63,125
64,100
65,126
66,82
67,114
68,107
69,125
70,100
71,91
72,88
73,96
74,91
75,101
76,112
77,107
78,102
79,101
80,82
81,91
82,96
83,106
84,95
85,77
86,83
87,103
88,92
89,88
90,86
91,91
92,87
93,98
94,78
95,88
96,86
97,87
98,77
99,83
100,87
101,89
102,72
103,94
104,73
105,82
106,77
107,83
108,82
109,83
110,90
111,94
112,101
113,72
114,68
115,75
116,91
117,96
118,62
119,71
120,84
121,89
122,62
123,69
124,86
125,73
126,76
127,79
128,67
129,69
130,66
131,72
132,67
133,68
134,60
135,67
136,82
137,73
138,69
139,55
140,88
141,76
142,71
143,57
144,66
145,66
146,74
147,52
148,61
149,47
150,58
151,71
152,63
153,78
154,61
155,48
156,67
157,59
158,67
159,56
160,52
161,55
162,72
163,69
164,63
165,47
166,55
167,71
168,49
169,56
170,54
171,58
172,67
173,54
174,54
175,66
176,67
177,71
178,43
179,71
180,57
181,52
182,51
183,52
184,51
185,52
186,63
187,48
188,57
189,53
190,61
191,56
192,47
193,53
194,44
195,48
196,57
197,59
198,44
199,42
200,55
201,53
202,54
203,47
204,48
205,45
206,48
207,42
208,51
209,49
210,50
211,52
212,44
213,56
214,44
215,45
216,37
217,37
218,55
219,45
220,45
221,63
222,42
223,42
224,47
225,43
226,47
227,47
228,47
229,42
230,50
231,53
232,49
233,44
234,43
235,49
236,36
237,33
238,56
239,33
240,42
241,42
242,43
243,44
244,46
245,38
246,40
247,45
248,40
249,46
250,29
251,30
252,37
253,44
254,33
255,54
256,43
257,36
258,34
259,31
260,37
261,34
262,41
263,30
264,33
265,25
266,35
267,38
268,34
269,32
270,35
271,36
272,44
273,38
274,37
275,27
276,26
277,36
278,42
279,48
280,40
281,37
282,27
283,31
284,36
285,41
286,28
287,32
288,29
289,30
290,36
291,28
292,34
293,39
294,38
295,35
296,33
297,29
298,31
299,41
300,28
301,38
302,24
303,34
304,35
305,51
306,30
307,37
308,37
309,33
310,40
311,30
312,36
313,12
314,39
315,34
316,27
317,30
318,22
319,28
320,29
321,35
322,36
323,32
324,28
325,23
326,24
327,36
328,37
329,30
330,38
331,33
332,29
333,32
334,28
335,23
336,32
337,20
338,25
339,34
340,32
341,35
342,34
343,30
344,29
345,31
346,41
347,22
348,25
349,23
350,32
351,30
352,36
353,32
354,28
355,29
356,28
357,24
358,28
359,30
360,24
361,25
362,22
363,40
364,23
365,28
366,30
367,25
368,34
369,24
370,22
371,25
372,24
373,26
374,26
375,33
376,21
377,21
378,15
379,41
380,27
381,27
382,25
383,27
384,28
385,24
386,29
387,24
388,27
389,33
390,24
391,28
392,28
393,15
394,27
395,32
396,30
397,22
398,26
399,26
400,14
401,32
402,18
403,22
404,28
405,26
406,27
407,17
408,35
409,29
410,15
411,25
412,23
413,27
414,24
415,25
416,21
417,14
418,19
419,23
420,25
421,22
422,37
423,28
424,22
425,32
426,25
427,24
428,22
429,20
430,33
431,26
432,30
433,25
434,20
435,24
436,29
437,27
438,16
439,16
440,22
441,29
442,15
443,30
444,25
445,23
446,22
447,18
448,20
449,21
450,17
451,22
452,22
453,26
454,26
455,17
456,23
457,29
458,22
459,23
460,23
461,23
462,18
463,22
464,22
465,26
466,20
467,17
468,32
469,18
470,21
471,17
472,10
473,22
474,21
475,14
476,22
477,16
478,22
479,13
480,23
481,23
482,19
483,19
484,25
485,16
486,26
487,13
488,18
489,15
490,17
491,20
492,20
493,19
494,20
495,17
496,19
497,18
498,17
499,22
