t,counts,true_signal,background
0,98,95.0,7
1,112,98.16582914572864,7
2,96,101.33165829145729,7
3,115,104.49748743718592,7
4,126,107.66331658291458,7
5,106,110.82914572864321,7
6,114,113.99497487437186,7
7,122,117.1608040201005,7
8,131,120.32663316582915,7
9,123,123.49246231155779,7
10,132,126.65829145728644,7
11,125,129.82412060301507,7
12,143,132.98994974874373,7
13,147,136.15577889447235,7
14,139,139.321608040201,7
15,156,142.48743718592965,7
16,136,145.6532663316583,7
17,147,148.81909547738695,7
18,152,151.98492462311557,7
19,164,155.15075376884423,7
20,191,158.31658291457288,7
21,172,161.4824120603015,7
22,150,164.64824120603015,7
23,143,167.8140703517588,7
24,174,170.97989949748745,7
25,196,174.1457286432161,7
26,175,177.31155778894473,7
27,170,180.47738693467338,7
28,202,183.643216080402,7
29,202,186.80904522613065,7
30,209,189.9748743718593,7
31,194,193.14070351758795,7
32,221,196.3065326633166,7
33,199,199.47236180904522,7
34,201,202.63819095477388,7
35,223,205.8040201005025,7
36,237,208.96984924623115,7
37,199,212.1356783919598,7
38,234,215.30150753768845,7
39,238,218.4673366834171,7
40,230,221.63316582914575,7
41,223,224.79899497487438,7
42,259,227.96482412060303,7
43,234,231.13065326633168,7
44,228,234.2964824120603,7
45,235,237.46231155778895,7
46,277,240.6281407035176,7
47,257,243.79396984924625,7
48,269,246.95979899497488,7
49,280,250.12562814070353,7
50,252,253.29145728643218,7
51,250,256.4572864321608,7
52,283,259.62311557788945,7
53,266,262.7889447236181,7
54,250,265.95477386934675,7
55,311,269.1206030150754,7
56,280,272.286432160804,7
57,276,275.4522613065327,7
58,331,278.6180904522613,7
59,289,281.78391959798995,7
60,281,284.9497487437186,7
61,300,288.11557788944725,7
62,260,291.2814070351759,7
63,329,294.4472361809045,7
64,283,297.6130653266332,7
65,317,300.7788944723618,7
66,297,303.94472361809045,7
67,307,307.1105527638191,7
68,324,310.27638190954775,7
69,292,313.4422110552764,7
70,314,316.608040201005,7
71,336,319.7738693467337,7
72,330,322.9396984924623,7
73,341,326.105527638191,7
74,347,329.2713567839196,7
75,376,332.43718592964825,7
76,334,335.6030150753769,7
77,379,338.76884422110555,7
78,335,341.9346733668342,7
79,371,345.1005025125628,7
80,357,348.2663316582915,7
81,328,351.4321608040201,7
82,390,354.59798994974875,7
83,356,357.7638190954774,7
84,381,360.92964824120605,7
85,398,364.0954773869347,7
86,382,367.26130653266335,7
87,383,370.42713567839195,7
88,351,373.5929648241206,7
89,386,376.75879396984925,7
90,396,379.9246231155779,7
91,403,383.09045226130655,7
92,383,386.2562814070352,7
93,405,389.42211055276385,7
94,409,392.5879396984925,7
95,371,395.7537688442211,7
96,391,398.91959798994975,7
97,438,402.0854271356784,7
98,431,405.25125628140705,7
99,420,408.4170854271357,7
100,399,411.58291457286435,7
101,408,414.748743718593,7
102,434,417.9145728643216,7
103,462,421.08040201005025,7
104,427,424.2462311557789,7
105,422,427.41206030150755,7
106,462,430.5778894472362,7
107,418,433.74371859296485,7
108,485,436.9095477386935,7
109,451,440.07537688442216,7
110,424,443.24120603015075,7
111,482,446.4070351758794,7
112,469,449.57286432160805,7
113,451,452.7386934673367,7
114,484,455.90452261306535,7
115,467,459.070351758794,7
116,490,462.23618090452266,7
117,485,465.40201005025125,7
118,507,468.5678391959799,7
119,471,471.73366834170855,7
120,487,474.8994974874372,7
121,483,478.06532663316585,7
122,474,481.2311557788945,7
123,423,484.39698492462315,7
124,518,487.5628140703518,7
125,468,490.7286432160804,7
126,520,493.89447236180905,7
127,512,497.0603015075377,7
128,457,500.22613065326635,7
129,513,503.391959798995,7
130,515,506.55778894472365,7
131,538,509.7236180904523,7
132,516,512.8894472361809,7
133,548,516.0552763819096,7
134,520,519.2211055276382,7
135,503,522.3869346733668,7
136,536,525.5527638190955,7
137,547,528.7185929648242,7
138,542,531.8844221105528,7
139,537,535.0502512562814,7
140,535,538.21608040201,7
141,493,541.3819095477387,7
142,580,544.5477386934674,7
143,553,547.713567839196,7
144,557,550.8793969849246,7
145,536,554.0452261306533,7
146,557,557.211055276382,7
147,577,560.3768844221106,7
148,562,563.5427135678392,7
149,574,566.7085427135678,7
150,588,569.8743718592965,7
151,535,573.0402010050252,7
152,632,576.2060301507538,7
153,578,579.3718592964824,7
154,587,582.5376884422111,7
155,643,585.7035175879397,7
156,572,588.8693467336684,7
157,562,592.035175879397,7
158,564,595.2010050251256,7
159,560,598.3668341708543,7
160,637,601.532663316583,7
161,637,604.6984924623116,7
162,581,607.8643216080402,7
163,627,611.0301507537689,7
164,639,614.1959798994975,7
165,608,617.3618090452262,7
166,647,620.5276381909548,7
167,621,623.6934673366834,7
168,622,626.8592964824121,7
169,668,630.0251256281407,7
170,660,633.1909547738694,7
171,605,636.356783919598,7
172,647,639.5226130653267,7
173,636,642.6884422110553,7
174,645,645.8542713567839,7
175,696,649.0201005025126,7
176,645,652.1859296482412,7
177,721,655.3517587939699,7
178,675,658.5175879396985,7
179,653,661.6834170854272,7
180,685,664.8492462311558,7
181,699,668.0150753768844,7
182,636,671.1809045226131,7
183,627,674.3467336683417,7
184,680,677.5125628140704,7
185,676,680.678391959799,7
186,659,683.8442211055277,7
187,703,687.0100502512563,7
188,653,690.175879396985,7
189,652,693.3417085427136,7
190,720,696.5075376884422,7
191,697,699.6733668341709,7
192,700,702.8391959798995,7
193,736,706.0050251256282,7
194,710,709.1708542713568,7
195,681,712.3366834170855,7
196,666,715.5025125628141,7
197,688,718.6683417085427,7
198,749,721.8341708542714,7
199,805,725.0,7
