t,counts,true_signal,background,is_injected_anomaly,z_score,anom_z,anom_iso,anom_any
0,265,265.0,6.6828302478526584,0,3.2092681187985335,1,1,1
1,273,262.11761244164825,5.876009536255703,0,3.339601666783123,1,1,1
2,260,259.2810683150117,6.950270717483875,0,3.1278096513081652,1,1,1
3,254,256.48878405745637,7.064338829834728,0,3.0300594903197235,1,1,1
4,269,253.7391922651371,5.329378886807698,0,3.2744348927908282,1,1,1
5,263,251.03074385128377,5.718692295882609,0,3.176684731802386,1,1,1
6,240,248.36191018803908,6.576704241900371,0,2.8019757813466923,0,1,1
7,234,245.73118522544212,6.310254444593851,0,2.70422562035825,0,0,0
8,252,243.13708758122246,6.489919305497427,0,2.997476103323576,0,1,1
9,244,240.57816259515965,5.988173643455852,0,2.8671425553389867,0,1,1
10,218,238.0529843418655,7.027638784917697,0,2.4435585243890716,0,0,0
11,239,235.56015759597247,6.966675161257369,0,2.7856840878486184,0,1,1
12,221,233.09831974384554,6.53961841853673,0,2.4924336048832925,0,0,0
13,262,230.66614263609364,7.17634472418082,0,3.1603930383043126,1,1,1
14,222,228.26233437532255,6.780505605351228,0,2.5087252983813664,0,0,0
15,231,225.88564103376004,5.984424522270057,0,2.6553505398640294,0,0,0
16,230,223.5348482955811,6.721250470449499,0,2.6390588463659554,0,0,0
17,215,221.2087830189757,5.9246704395026,0,2.3946834438948508,0,1,1
18,232,218.9063147132296,7.027070180784364,0,2.671642233362103,0,0,0
19,231,216.62635692632642,6.470044453408248,0,2.6553505398640294,0,0,0
20,190,214.36786853883504,6.389082581872843,0,1.9873911064430092,0,0,0
21,220,212.12985496010614,6.091442273357635,0,2.476141911385219,0,0,0
22,234,209.91136922307965,7.233524803204418,0,2.70422562035825,0,0,0
23,226,207.71151297428736,6.407282310758719,0,2.573892072373661,0,0,0
24,366,205.52943735592942,6.2430033067021355,1,4.854729162103973,1,1,1
25,213,203.36434377720605,6.288719869707062,0,2.3621000568987034,0,1,1
26,201,201.21548457239527,6.819385511332009,0,2.1665997349218196,0,0,0
27,207,199.08216354348434,6.719266438618447,0,2.2643498959102613,0,1,1
28,199,196.96373638548496,6.747639566957593,0,2.134016347925672,0,0,0
29,207,194.85961099289037,6.75849260180473,0,2.2643498959102613,0,1,1
30,194,192.76924764606372,7.784988560522277,0,2.052557880435304,0,0,0
31,195,190.6921590766827,6.256150990169231,0,2.0688495739333774,0,0,0
32,199,188.62791041170127,6.192654362557078,0,2.134016347925672,0,0,0
33,183,186.57611899563062,6.0117363630512735,0,1.8733492519564936,0,0,0
34,196,184.5364540912776,6.869587653545297,0,2.0851412674314513,0,0,0
35,202,182.50863645941956,7.177383375632535,0,2.182891428419893,0,0,0
36,168,180.4924378182314,6.431631525407075,0,1.628973849485389,0,0,0
37,182,178.48768018361437,5.995906113822484,0,1.85705755845842,0,0,0
38,192,176.49423509191018,6.005311270585256,0,2.0199744934391566,0,0,0
39,175,174.5120227068089,6.89035567269482,0,1.7430157039719043,0,0,0
40,178,172.54101081258335,6.945952502722065,0,1.7918907844661254,0,0,0
41,174,170.58121369609938,6.825892560983117,0,1.7267240104738308,0,0,0
42,153,168.6326909203595,6.100694175626783,0,1.384598447014284,0,0,0
43,187,166.6955459926414,6.639296793840032,0,1.9385160259487884,0,0,0
44,166,164.76992493058594,6.570011485484437,0,1.5963904624892415,0,0,0
45,151,162.85601472987233,6.631213158037408,0,1.3520150600181366,0,0,0
46,176,160.95404173739544,7.022857266768914,0,1.759307397469978,0,0,0
47,182,159.06426993412043,6.634157329264809,0,1.85705755845842,0,0,0
48,176,157.1869991320442,6.907348137843137,0,1.759307397469978,0,0,0
49,151,155.3225630899327,6.5405474416933345,0,1.3520150600181366,0,0,0
50,176,153.47132755272833,6.67347163921399,0,1.759307397469978,0,0,0
51,159,151.63368821973893,6.878772935503124,0,1.482348608002726,0,0,0
52,174,149.8100686469138,5.6257065080866,0,1.7267240104738308,0,0,0
53,144,148.00091808870303,6.3081972701856195,0,1.237973205531621,0,0,0
54,147,146.20670928516063,6.2177764074243225,0,1.2868482860258421,0,0,0
55,143,144.42793620011045,6.116673291053995,0,1.2216815120335474,0,0,0
56,145,142.66511171632865,6.33491464926399,0,1.2542648990296947,0,0,0
57,165,140.91876529382043,7.396964786740638,0,1.5800987689911679,0,0,0
58,125,139.18944059737203,5.980501330584054,0,0.9284310290682216,0,0,0
59,152,137.4776930996484,7.080967012754888,0,1.3683067535162103,0,0,0
60,138,135.7840876661772,5.490278137030517,0,1.1402230445431791,0,0,0
61,147,134.1091961286114,6.299068982008535,0,1.2868482860258421,0,0,0
62,135,132.45359485270225,6.597651839063003,0,1.091347964048958,0,0,0
63,137,130.8178623074279,6.851733398815567,0,1.1239313510451054,0,0,0
64,131,129.2025766417274,6.926735947875713,0,1.0261811900566635,0,0,0
65,123,127.60831327526843,6.976008341119955,0,0.8958476420720742,0,0,0
66,131,126.03564250964607,6.290764956650937,0,1.0261811900566635,0,0,0
67,125,124.48512716635348,6.2225889244012595,0,0.9284310290682216,0,0,0
68,131,122.95732025779786,7.014785528754293,0,1.0261811900566635,0,0,0
69,145,121.45276269754658,6.385217405071031,0,1.2542648990296947,0,0,0
70,120,119.97198105588376,5.734588205997247,0,0.8469725615778533,0,0,0
71,125,118.51548536663744,5.820027671597912,0,0.9284310290682216,0,0,0
72,126,117.08376699109891,5.948328628399033,0,0.9447227225662952,0,0,0
73,116,115.6772965447034,6.798296446432259,0,0.7818057875855586,0,0,0
74,115,114.29652189197084,6.585455441642339,0,0.7655140940874849,0,0,0
75,134,112.94186621502311,6.914291212440661,0,1.0750562705508844,0,0,0
76,120,111.61372616079332,6.2436484121980795,0,0.8469725615778533,0,0,0
77,127,110.3124700718314,6.595123814646029,0,0.9610144160643689,0,0,0
78,121,109.03843630538319,6.875354236380402,0,0.863264255075927,0,0,0
79,131,107.79193164518091,6.314392076167857,0,1.0261811900566635,0,0,0
80,102,106.57322981013205,6.774065142534447,0,0.5537220786125274,0,0,0
81,96,105.38257006382985,6.1028444353600095,0,0.4559719176240855,0,0,0
82,136,104.220155928536,6.282167692060957,0,1.1076396575470318,0,0,0
83,107,103.08615400700108,6.2709572636010025,0,0.6351805461028958,0,0,0
84,134,101.9806929151962,5.782496212646576,0,1.0750562705508844,0,0,0
85,81,100.90386232872747,6.792183488471349,0,0.21159651515298064,0,0,0
86,86,99.85571214539542,6.218358595878366,0,0.29305498264334895,0,0,0
87,106,98.83625176604619,6.507496471236612,0,0.6188888526048221,0,0,0
88,82,97.84544949553889,6.788447995343545,0,0.2278882086510543,0,0,0
89,100,96.88323206532685,6.767918705617967,0,0.5211386916163802,0,0,0
90,109,95.94948427881955,6.899231065383672,0,0.667763933099043,0,0,0
91,95,95.04404878035749,6.440908709294346,0,0.4396802241260119,0,0,0
92,98,94.16672594829565,6.246021012773507,0,0.48855530462023283,0,0,0
93,99,93.31727391235373,6.452169073456161,0,0.5048469981183065,0,0,0
94,96,92.49540869505202,5.4875993396251825,0,0.4559719176240855,0,0,0
95,109,91.7008044767145,5.631732516546148,0,0.667763933099043,0,0,0
96,91,90.93309398318375,5.7063802325873585,0,0.37451345013371723,0,0,0
97,95,90.19186899505829,5.901651903439111,0,0.4396802241260119,0,0,0
98,88,89.47668097693128,6.739864536034062,0,0.3256383696394963,0,0,0
99,113,88.78704182478351,5.956712566783963,0,0.7329307070913377,0,0,0
100,93,88.12242472936069,6.273102467576366,0,0.40709683712986455,0,0,0
101,83,87.48226515304972,7.279536978671639,0,0.24417990214912796,0,0,0
102,64,86.86596191745956,6.286241617363144,0,-0.06536227431427152,0,0,0
103,97,86.2728783986099,6.942509341080252,0,0.47226361112215914,0,0,0
104,93,85.70234382633858,5.939829391994074,0,0.40709683712986455,0,0,0
105,103,85.15365468425432,6.376737465279422,0,0.5700137721106011,0,0,0
106,173,84.62607620628808,5.929986767053651,1,1.7104323169757571,0,0,0
107,80,84.11884396563225,6.2965801544596625,0,0.195304821654907,0,0,0
108,102,83.63116555160698,7.004184882474437,0,0.5537220786125274,0,0,0
109,223,83.16222232975184,5.463607746084591,1,2.52501699187944,0,0,0
110,86,82.7111712802161,6.760654186127514,0,0.29305498264334895,0,0,0
111,84,82.27714690930684,6.642641361399367,0,0.2604715956472016,0,0,0
112,91,81.85926322885594,6.143510026581923,0,0.37451345013371723,0,0,0
113,85,81.45661579788218,5.632365287366928,0,0.27676328914527526,0,0,0
114,71,81.06828382085587,6.543277704628322,0,0.04867958017224408,0,0,0
115,83,80.6933322967193,6.182304374561719,0,0.24417990214912796,0,0,0
116,76,80.33081421267958,6.639605726812823,0,0.13013804766261236,0,0,0
117,92,79.97977277666814,6.513111287314065,0,0.39080514363179086,0,0,0
118,82,79.6392436822574,7.461067334792549,0,0.2278882086510543,0,0,0
119,88,79.30825739973746,6.356386623516185,0,0.3256383696394963,0,0,0
120,73,78.985841486985,5.885901504426881,0,0.08126296716839139,0,0,0
121,75,78.67102291370416,6.6075653809737895,0,0.11384635416453871,0,0,0
122,157,78.36283039258372,6.631998010383059,1,1.4497652210065786,0,0,0
123,99,78.06029671089733,7.315512545144262,0,0.5048469981183065,0,0,0
124,86,77.76246105607332,7.001066747548747,0,0.29305498264334895,0,0,0
125,171,77.46837132877924,6.714122635489706,1,1.6778489299796098,0,0,0
126,87,77.17708643710088,7.377981734731737,0,0.3093466761414226,0,0,0
127,87,76.88767856544924,5.786742167406289,0,0.3093466761414226,0,0,0
128,75,76.59923541189906,6.1161490803501515,0,0.11384635416453871,0,0,0
129,75,76.31086238775072,5.944054435156685,0,0.11384635416453871,0,0,0
130,84,76.02168477321135,6.26611411810654,0,0.2604715956472016,0,0,0
131,86,75.73084982321329,5.673988311466215,0,0.29305498264334895,0,0,0
132,84,75.43752881752513,6.881090568088642,0,0.2604715956472016,0,0,0
133,82,75.14091904946513,6.366666381740736,0,0.2278882086510543,0,0,0
134,89,74.84024574769518,5.617516223298406,0,0.3419300631375699,0,0,0
135,78,74.53476392575965,5.890652551275475,0,0.16272143465875968,0,0,0
136,94,74.22376015423065,6.688108308470117,0,0.4233885306279382,0,0,0
137,86,73.90655425053585,7.002875940736629,0,0.29305498264334895,0,0,0
138,105,73.58250088177158,7.698038535015072,0,0.6025971591067484,0,0,0
139,73,73.2509910760424,8.248317479604397,0,0.08126296716839139,0,0,0
140,94,72.9114536381214,6.7486456599655975,0,0.4233885306279382,0,0,0
141,78,72.56335646548817,5.906277127980881,0,0.16272143465875968,0,0,0
142,89,72.20620776107512,5.220772231561215,0,0.3419300631375699,0,0,0
143,79,71.83955713933744,6.660626877406301,0,0.17901312815683335,0,0,0
144,84,71.46299662255541,6.0122353428138045,0,0.2604715956472016,0,0,0
145,79,71.07616152457867,6.250785643892189,0,0.17901312815683335,0,0,0
146,196,70.678731219533,6.132741920564115,1,2.0851412674314513,0,0,0
147,85,70.27042979332495,6.415525468150169,0,0.27676328914527526,0,0,0
148,69,69.8510265761026,7.139588138472586,0,0.016096193176096767,0,0,0
149,73,69.4203365541578,6.594229140467207,0,0.08126296716839139,0,0,0
150,88,68.97822066008649,6.404819097776787,0,0.3256383696394963,0,0,0
151,70,68.52458594035805,5.878607748304513,0,0.032387886674170425,0,0,0
152,76,68.05938559978195,5.495190233177386,0,0.13013804766261236,0,0,0
153,76,67.58261892269783,6.208215254556001,0,0.13013804766261236,0,0,0
154,73,67.09433107105389,6.467730469509008,0,0.08126296716839139,0,0,0
155,71,66.59461275987701,7.56075794814793,0,0.04867958017224408,0,0,0
156,61,66.08359981097462,6.578164712883732,0,-0.1142373548084925,0,0,0
157,77,65.5614725860427,7.089643706613835,0,0.14642974116068602,0,0,0
158,91,65.02845530068622,6.200422640876509,0,0.37451345013371723,0,0,0
159,57,64.48481522118496,5.789033740149785,0,-0.17940412880078713,0,0,0
160,81,63.930861746159714,5.920929942660577,0,0.21159651515298064,0,0,0
161,61,63.36694537561074,6.064864361278548,0,-0.1142373548084925,0,0,0
162,71,62.79345657010901,7.777081839461099,0,0.04867958017224408,0,0,0
163,62,62.2108245032231,6.0071679924653685,0,-0.09794566131041883,0,0,0
164,68,61.6195157105576,7.003093522241807,0,-0.00019550032197689128,0,0,0
165,71,61.02003263906321,5.958243693147784,0,0.04867958017224408,0,0,0
166,56,60.412912100552646,7.058943807724546,0,-0.1956958222988608,0,0,0
167,61,59.79872363361951,6.730970579663518,0,-0.1142373548084925,0,0,0
168,76,59.17806777840945,6.406017261405146,0,0.13013804766261236,0,0,0
169,84,58.55157426893185,6.47554248431874,0,0.2604715956472016,0,0,0
170,54,57.91990014782765,6.107127382742366,0,-0.22827920929500808,0,0,0
171,65,57.28372780872121,6.767643320889248,0,-0.04907058081619786,0,0,0
172,72,56.64376297148417,6.227009911795532,0,0.06497127367031774,0,0,0
173,122,56.000732595923004,5.764636541739651,1,0.8795559485740005,0,0,0
174,55,55.35538273957159,5.733237455408228,0,-0.21198751579693442,0,0,0
175,71,54.70847636542417,6.603552750633272,0,0.04867958017224408,0,0,0
176,67,54.06079110558138,7.4474547538462605,0,-0.01648719382005055,0,0,0
177,57,53.413116986903816,6.595994968144063,0,-0.17940412880078713,0,0,0
178,65,52.76625412487229,6.42881700433407,0,-0.04907058081619786,0,0,0
179,47,52.12101039194104,6.671495683761526,0,-0.3423210637815237,0,0,0
180,68,51.47819906674167,7.283601045024095,0,-0.00019550032197689128,0,0,0
181,55,50.83863647054762,6.631629500818314,0,-0.21198751579693442,0,0,0
182,50,50.20313959744499,6.253443661499758,0,-0.2934459832873027,0,0,0
183,53,49.57252374467293,7.163773226035933,0,-0.24457090279308175,0,0,0
184,50,48.94760014959735,6.7572538630769685,0,-0.2934459832873027,0,0,0
185,66,48.329173639763454,7.421453595197595,0,-0.03277888731812421,0,0,0
186,55,47.718040302437664,6.609940662333144,0,-0.21198751579693442,0,0,0
187,53,47.11498517999635,5.7653185809676994,0,-0.24457090279308175,0,0,0
188,51,46.52077999744856,5.679104480452601,0,-0.27715428978922907,0,0,0
189,44,45.93618092829206,7.49055675933875,0,-0.3911961442757447,0,0,0
190,52,45.361926404797984,7.534199432469978,0,-0.2608625962911554,0,0,0
191,43,44.798734978697155,6.392288472030439,0,-0.4074878377738183,0,0,0
192,44,44.24730323810432,6.270087607318407,0,-0.3911961442757447,0,0,0
